line,character,dialogue,Russian,Hindi
457,HAN,"Kid, I've flown from one side of this galaxy to the other.  I've seen a lot of strange stuff, but I've never seen anything to make me believe there's one all-powerful force controlling everything.  There's no mystical energy field that controls my destiny.","Малыш, я летал с одной стороны этой галактики на другую.Я видел много странных вещей, но я никогда не видел ничего, чтобы заставлять меня поверить, что есть одна всемогущая сила, контролирующая все.Там нет мистического энергетического поля, которое контролирует мою судьбу.","बच्चा, मैं इस आकाशगंगा के एक तरफ से दूसरे तक उड़ गया हूं।मैंने बहुत सारी अजीब चीजें देखी हैं, लेकिन मैंने कभी भी मुझे यह विश्वास दिलाने के लिए कुछ भी नहीं देखा है कि सब कुछ नियंत्रित करने वाला एक सर्व-शक्तिशाली बल है।कोई रहस्यमय ऊर्जा क्षेत्र नहीं है जो मेरे भाग्य को नियंत्रित करता है।"
458,HAN,It's all a lot of simple tricks and nonsense.,Это все простые трюки и чепуха.,यह सभी बहुत सारी सरल चाल और बकवास है।
459,BEN,"I suggest you try it again, Luke.","Я предлагаю вам попробовать еще раз, Люк.","मेरा सुझाव है कि आप इसे फिर से आज़माएं, ल्यूक।"
460,BEN,"This time, let go your conscious self and act on instinct.",На этот раз отпустите свое сознательное я и действуйте в инстинкте.,"इस बार, अपने जागरूक स्व को जाने दें और वृत्ति पर कार्य करें।"
461,LUKE,"With the blast shield down, I can't even see.  How am I supposed to fight?","С взрывным щитом, я даже не вижу.Как я должен сражаться?","विस्फोट ढाल के साथ, मैं भी नहीं देख सकता।मैं कैसे लड़ने वाला हूं?"
462,BEN,Your eyes can deceive you.  Don't trust them.,Ваши глаза могут вас обмануть.Не доверяйте им.,आपकी आँखें आपको धोखा दे सकती हैं।उन पर भरोसा मत करो।
463,BEN,Stretch out with your feelings.,Растягитесь со своими чувствами.,अपनी भावनाओं के साथ बाहर खिंचाव।
464,BEN,"You see, you can do it.","Видите ли, вы можете это сделать.","आप देखें, आप इसे कर सकते हैं।"
465,HAN,I call it luck. ,Я называю это удачей.,मैं इसे भाग्य कहता हूं।
466,BEN,"In my experience, there's no such thing as luck.","По моему опыту, нет такой вещи, как удача.","मेरे अनुभव में, भाग्य जैसी कोई चीज नहीं है।"
467,HAN,"Look, going good against remotes is one thing.  Going good against the living?  That's something else.","Смотри, хорошо против отдач - это одно.Собираясь хорошо против жизни?Это что -то еще.","देखो, रीमोट्स के खिलाफ अच्छा जाना एक बात है।जीने के खिलाफ अच्छा हो रहा है?यह कुछ और है।"
468,HAN,Looks like we're coming up on Alderaan.,"Похоже, мы идем на Олдераан.",लगता है कि हम एल्डेरन पर आ रहे हैं।
469,LUKE,"You know, I did feel something.  I could almost see the remote.","Вы знаете, я что -то чувствовал.Я почти мог видеть пульт.","तुम्हें पता है, मैंने कुछ महसूस किया।मैं लगभग रिमोट देख सकता था।"
470,BEN,That's good.  You have taken your first step into a larger world.,Это хорошо.Вы сделали свой первый шаг в более крупный мир.,अच्छी बात है।आपने अपना पहला कदम एक बड़ी दुनिया में लिया है।
471,TARKIN,Yes.,Да.,हाँ।
472,OFFICER CASS,"Our scout ships have reached Dantooine.  They found the remains of a Rebel base, but they estimate that it has been deserted for some time.  They are now conducting an extensive search of the surrounding systems.","Наши скаутские корабли достигли Дантуина.Они нашли остатки мятежного базы, но, по оценкам, они были заброшены в течение некоторого времени.Сейчас они проводят обширный поиск окружающих систем.","हमारे स्काउट जहाज डैंटूइन तक पहुंच गए हैं।उन्हें एक विद्रोही आधार के अवशेष मिले, लेकिन वे अनुमान लगाते हैं कि यह कुछ समय के लिए सुनसान है।वे अब आसपास की प्रणालियों की एक व्यापक खोज कर रहे हैं।"
473,TARKIN,She lied!  She lied to us!,Она врет!Она солгала нам!,वह झूठ बोली!उसने हमसे झूठ बोला!
474,VADER,I told you she would never consciously betray the Rebellion.,"Я сказал вам, что она никогда не будет сознательно предать восстание.",मैंने तुमसे कहा था कि वह सचेत रूप से विद्रोह को धोखा नहीं देगी।
475,TARKIN,Terminate her... immediately!,Прекратите ее ... немедленно!,उसे समाप्त करें ... तुरंत!
476,HAN,"Stand by, Chewie, here we go.  Cut in the sublight engines.","Встаньте, Чуви, мы пойдем.Вырежьте в подстрижных двигателях.","खड़े हो जाओ, चेवी, यहाँ हम जाते हैं।सबलाइट इंजन में काटें।"
477,HAN,"What the...?  Aw, we've come out of hyperspace into a meteor shower.  Some kind of asteroid collision.  It's not on any of the charts.","Что за...?О, мы вышли из гиперпространства в метеорный душ.Какое -то столкновение с астероидом.Это не ни на одной из графиков.","क्या...?अजी, हम एक उल्का बौछार में हाइपरस्पेस से बाहर आ गए हैं।किसी तरह के क्षुद्रग्रह टक्कर।यह किसी भी चार्ट पर नहीं है।"
478,LUKE,What's going on?,Что происходит?,क्या चल रहा है?
479,HAN,"Our position is correct, except... no, Alderaan!","Наша позиция верна, кроме ... нет, Алдераан!","हमारी स्थिति सही है, सिवाय ... नहीं, एल्डेरन!"
480,LUKE,What do you mean?  Where is it?,Что ты имеешь в виду?Где это?,आपका क्या मतलब है?कहाँ है?
481,HAN,"Thats what I'm trying to tell you, kid.  It ain't there.  It's been totally blown away.","Вот что я пытаюсь сказать тебе, малыш.Его там нет.Это было полностью взорвано.","मैं आपको बताने की कोशिश कर रहा हूं, बच्चा।यह वहाँ नहीं है।यह पूरी तरह से उड़ा दिया गया है।"
482,LUKE,What?  How?,Что?Как?,क्या?कैसे?
483,BEN,Destroyed... by the Empire!,Уничтожен ... империей!,नष्ट ... साम्राज्य द्वारा!
484,HAN,The entire starfleet couldn't destroy the whole planet.  It'd take a thousand ships with more fire power than I've...,"Весь Starfleet не мог уничтожить всю планету.Это потребует тысячи кораблей с большей пожарной силой, чем я ...",पूरा Starfleet पूरे ग्रह को नष्ट नहीं कर सका।यह एक हजार जहाजों के साथ अधिक अग्नि शक्ति के साथ ले जाएगा ...
485,HAN,There's another ship coming in.,Есть еще один корабль.,एक और जहाज आ रहा है।
486,LUKE,Maybe they know what happened.,"Может, они знают, что случилось.",शायद वे जानते हैं कि क्या हुआ।
487,BEN,It's an Imperial fighter.,Это имперский боец.,यह एक शाही सेनानी है।
488,LUKE,It followed us!,Это последовало за нами!,यह हमारे पीछे था!
489,BEN,No.  It's a short range fighter.,Нет. Это боец с коротким расстоянием.,"नहीं, यह एक छोटी रेंज फाइटर है।"
490,HAN,There aren't any bases around here.  Where did it come from?,Здесь нет никаких баз.Откуда это?,यहाँ के आसपास कोई ठिकाना नहीं है।यह कहां से आया था?
491,LUKE,"It sure is leaving in a big hurry.  If they identify us, we're in big trouble.","Это, конечно, уходит в большой спешке.Если они идентифицируют нас, у нас большие проблемы.","यह निश्चित रूप से एक बड़ी जल्दी में जा रहा है।यदि वे हमारी पहचान करते हैं, तो हम बड़ी मुसीबत में हैं।"
492,HAN,Not if I can help it.  Chewie... jam it's transmissions.,"Нет, если я могу помочь.Чуви ... варенье это передачи.","नहीं यदि, मेरे द्वारा इसमें मदद हो पाती।चेवी ... जाम यह प्रसारण है।"
493,BEN,It'd be as well to let it go.  It's too far out of range.,Так же хорошо отпустить.Это слишком далеко от диапазона.,यह जाने के लिए भी होगा।यह बहुत दूर सीमा से बाहर है।
494,HAN,Not for long...,Не долго...,लंबे समय के लिए नहीं...
495,BEN,A fighter that size couldn't get this deep into space on its own.,"Боец, этот размер, не мог получить это глубоко в космос самостоятельно.",एक लड़ाकू उस आकार को अपने आप अंतरिक्ष में गहरे में नहीं मिल सकता है।
496,LUKE,"Then he must have gotten lost, been part of a convoy or something...","Тогда он, должно быть, потерялся, был частью конвоя или что -то в этом роде ...","तब वह खो गया होगा, एक काफिले या कुछ और का हिस्सा रहा होगा ..."
497,HAN,"Well, he ain't going to be around long enough to tell anyone about us.","Ну, он не будет достаточно долго, чтобы рассказать никому о нас.","खैर, वह हमारे बारे में किसी को बताने के लिए लंबे समय तक नहीं जा रहा है।"
498,LUKE,Look at him.  He's heading for that small moon.,Взгляни на него.Он направляется к этой маленькой луне.,उसे देखो।वह उस छोटे से चाँद के लिए जा रहा है।
499,HAN,I think I can get him before he gets there... he's almost in range.,"Я думаю, что смогу получить его, прежде чем он попадет туда ... он почти в диапазоне.",मुझे लगता है कि मैं उसे वहां पहुंचने से पहले प्राप्त कर सकता हूं ... वह लगभग सीमा में है।
500,BEN,That's no moon!  It's a space station.,Это не луна!Это космическая станция.,यह कोई चाँद नहीं है!यह एक अंतरिक्ष स्टेशन है।
501,HAN,It's too big to be a space station.,"Это слишком важно, чтобы быть космической станцией.",अंतरिक्ष स्टेशन होना बहुत बड़ा है।
502,LUKE,I have a very bad feeling about this.,У меня очень плохое чувство об этом.,मुझे इस बारे में बहुत बुरा लग रहा है।
503,BEN,Turn the ship around!,Поверните корабль!,जहाज को चारों ओर घुमाएं!
504,HAN,"Yeah, I think your right.  Full reverse!  Chewie, lock in the auxiliary power.","Да, я думаю, что ты прав.Полный реверс!Чуи, заблокировать вспомогательную силу.","हाँ, मुझे लगता है कि आपका अधिकार है।पूर्ण उल्टा!चेवी, सहायक शक्ति में लॉक।"
505,LUKE,Why are we still moving towards it?,Почему мы все еще движемся к этому?,हम अभी भी इसकी ओर बढ़ रहे हैं?
506,HAN,We're caught in a tractor beam!  It's pulling us in!,Мы пойманы в тракторе!Это втягивает нас!,हम एक ट्रैक्टर बीम में फंस गए हैं!यह हमें अंदर खींच रहा है!
507,LUKE,But there's gotta be something you can do!,"Но вы можете сделать что -то, что вы можете сделать!",लेकिन वहाँ कुछ ऐसा होगा जो आप कर सकते हैं!
508,HAN,"There's nothin' I can do about it, kid.  I'm in full power.  I'm going to have to shut down.  But they're not going to get me without a fight!","Я ничего не могу с этим поделать, малыш.Я в полной мере.Мне придется закрыться.Но они не собираются привлечь меня без боя!","वहाँ नहीं है 'मैं इसके बारे में कर सकता हूं, बच्चा।मैं पूरी शक्ति में हूँ।मैं बंद करने जा रहा हूँ।लेकिन वे मुझे एक लड़ाई के बिना नहीं जा रहे हैं!"
509,BEN,You can't win.  But there are alternatives to fighting.,Вы не можете победить.Но есть альтернативы борьбе.,आप जीत नहीं सकते।लेकिन लड़ने के विकल्प हैं।
510,VOICE OVER DEATH STAR INTERCOM,Clear Bay twenty-three-seven.  We are opening the magnetic field.,Чистая залива двадцать три-семь.Мы открываем магнитное поле.,स्पष्ट खाड़ी तेईस-सात।हम चुंबकीय क्षेत्र खोल रहे हैं।
511,OFFICER,To your stations!,На ваши станции!,अपने स्टेशनों पर!
512,OFFICER,Come with me.,Пойдем со мной.,मेरे साथ आइए।
513,OFFICER,Close all outboard shields!  Close all outboard shields!,Закройте все подвесные щиты!Закройте все подвесные щиты!,सभी आउटबोर्ड शील्ड्स बंद करें!सभी आउटबोर्ड शील्ड्स बंद करें!
514,TARKIN,Yes.,Да.,हाँ।
515,VOICE,We've captured a freighter entering the remains of the Alderaan system.  It's markings match those of a ship that blasted its way out of Mos Eisley.,"Мы захватили грузового корабля, входящего в остатки системы Олдераана.Это маркировки, соответствующие корабля, который вышел из Мос Эйсли.",हमने एल्डेरन सिस्टम के अवशेषों में प्रवेश करने वाले एक फ्रीटर पर कब्जा कर लिया है।यह एक जहाज से मेल खाता है जो मोस आइस्ले से बाहर निकलने के लिए अपना रास्ता विस्फोट कर देता है।
516,VADER,They must be trying to return the stolen plans to the princess.  She may yet be of some use to us.,Они должны пытаться вернуть украденные планы принцессе.Она еще может быть для нас.,वे राजकुमारी को चोरी की योजनाओं को वापस करने की कोशिश कर रहे होंगे।वह अभी तक हमारे लिए कुछ उपयोग कर सकती है।
517,VOICE,Unlock one-five-seven and nine. Release charges.,Разблокируйте один пять-семь и девять.Выпуск зарядов.,एक-सात-सात और नौ अनलॉक करें।रिलीज शुल्क।
518,OFFICER,"There's no one on board, sir.  According to the log, the crew abandoned ship right after takeoff.  It must be a decoy, sir.  Several of the escape pods have been jettisoned.","На борту нет никого, сэр.Согласно журналу, экипаж отказался от корабля сразу после взлета.Это должно быть приманка, сэр.Несколько капсул -побег были отброшены.","बोर्ड पर कोई नहीं है, सर।लॉग के अनुसार, चालक दल ने टेकऑफ़ के ठीक बाद जहाज छोड़ दिया।यह एक डिकॉय होना चाहिए, सर।एस्केप पॉड्स में से कई को जेटी किया गया है।"
519,VADER,Did you find any droids?,Вы нашли дроиды?,क्या आपको कोई ड्रॉइड मिला?
520,OFFICER,"No, sir.  If there were any on board, they must also have jettisoned.","Нет, сэр.Если на борту было что -то, они также должны были отбросить.","नहीं साहब।यदि बोर्ड पर कोई था, तो उन्हें भी जेटीना होना चाहिए।"
521,VADER,Send a scanning crew on board.  I want every part of this ship checked.,"Отправьте сканирующую команду на борту.Я хочу, чтобы каждая часть этого корабля проверила.",बोर्ड पर एक स्कैनिंग क्रू भेजें।मैं इस जहाज के हर हिस्से की जाँच करना चाहता हूं।
522,OFFICER,"Yes, sir.",Да сэр.,जी श्रीमान।
523,VADER,I sense something... a presence I haven't felt since...,"Я чувствую что -то ... присутствие, которое я не чувствовал с тех пор ...",मुझे कुछ समझ में आता है ... एक उपस्थिति जो मैंने महसूस नहीं की है ...
524,OFFICER,Get me a scanning crew in here on the double.  I want every part of this ship checked!,"Принеси мне сканирующую команду сюда на двойник.Я хочу, чтобы каждая часть этого корабля проверила!",मुझे डबल पर यहां एक स्कैनिंग क्रू प्राप्त करें।मैं इस जहाज के हर हिस्से की जाँच करना चाहता हूं!
525,LUKE,"Boy, it's lucky you had these compartments.","Мальчик, повезло, что у вас были эти отсеки.","लड़का, यह भाग्यशाली है कि आपके पास ये डिब्बे थे।"
526,HAN,"I use them for smuggling.  I never thought I'd be smuggling myself in them.  This is ridiculous.  Even if I could take off, I'd never get past the tractor beam.","Я использую их для контрабанды.Я никогда не думал, что буду контрабандой в них.Это нелепо.Даже если бы я мог взлететь, я бы никогда не прошел мимо трактора.","मैं उनका उपयोग तस्करी के लिए करता हूं।मैंने कभी नहीं सोचा था कि मैं उनमें खुद को तस्करी करूंगा।यह मज़ाकीय है।यहां तक कि अगर मैं उतार सकता हूं, तो मैं ट्रैक्टर बीम को कभी नहीं ले जाऊंगा।"
527,BEN,Leave that to me!,Оставь это мне!,मुझ पर छोड़ दो!
528,HAN,Damn fool. I knew that you were going to say that!,"Чертов дурак.Я знал, что ты собираешься сказать это!",धिक्कार है मूर्ख।मुझे पता था कि आप ऐसा कहने जा रहे थे!
529,BEN,Who's the more foolish... the fool or the fool who follows him?,"Кто более глупый ... дурак или дурак, который следует за ним?",कौन अधिक मूर्ख है ... मूर्ख या मूर्ख जो उसका पीछा करता है?
530,TROOPER,"The ship's all yours.  If the scanners pick up anything, report it immediately.  All right, let's go.","Корабль все твое.Если сканеры что -нибудь заберут, сообщите об этом немедленно.Хорошо, пойдем.","जहाज का सब कुछ तुम्हारा है।यदि स्कैनर कुछ भी उठाते हैं, तो इसे तुरंत रिपोर्ट करें।सब ठीक है चलो चलते हैं।"
531,HAN,"Hey down there, could you give us a hand with this?","Привет, вниз, не могли бы вы дать нам руку с этим?","अरे नीचे, क्या आप हमें इसके साथ एक हाथ दे सकते हैं?"
532,GANTRY OFFICER,"TX-four-one-two.  Why aren't you at your post?  TX-four-one-two, do you copy? ","TX-Four-One-TWO.Почему ты не в своем посте?TX-Four-One-Two, вы копируете?","Tx-Four-one-दो।आप अपनी पोस्ट में क्यों नहीं हैं?Tx-Four-one-दो, क्या आप कॉपी करते हैं?"
533,GANTRY OFFICER,Take over.  We've got a bad transmitter.  I'll see what I can do.,Перенимать.У нас плохой передатчик.Я посмотрю что я могу сделать.,कब्जा।हमें एक बुरा ट्रांसमीटर मिला है।में देखता हूँ में क्या कर सकता हूँ।
534,LUKE,"You know, between his howling and your blasting everything in sight, it's a wonder the whole station doesn't know we're here.","Знаете, между его вой и взрывом всего в поле зрения, это удивительно, что вся станция не знает, что мы здесь.","आप जानते हैं, उसकी हॉलिंग और आपके सब कुछ दृष्टि में नष्ट करने के बीच, यह आश्चर्य है कि पूरे स्टेशन को पता नहीं है कि हम यहां हैं।"
535,HAN,Bring them on!  I prefer a straight fight to all this sneaking around.,"Принесите их!Я предпочитаю прямую борьбу всем этим, пробирающееся.",उन पर ले आओ!मैं इस सब के आसपास एक सीधी लड़ाई पसंद करता हूं।
536,THREEPIO,"We found the computer outlet, sir.","Мы нашли компьютерную торговую точку, сэр.","हमें कंप्यूटर आउटलेट मिला, सर।"
537,BEN,Plug in.  He should be able to interpret the entire Imperial computer network.,Подключите. Он должен быть в состоянии интерпретировать всю имперскую компьютерную сеть.,प्लग इन। वह पूरे इंपीरियल कंप्यूटर नेटवर्क की व्याख्या करने में सक्षम होना चाहिए।
538,THREEPIO,He says he's found the main control to the power beam that's holding the ship here.  He'll try to make the precise location appear on the monitor.,"Он говорит, что нашел основной контроль от силового луча, который удерживает корабль здесь.Он попытается сделать точное местоположение на мониторе.",वह कहते हैं कि उन्हें पावर बीम का मुख्य नियंत्रण मिला है जो यहां जहाज को पकड़े हुए हैं।वह मॉनिटर पर सटीक स्थान दिखाई देने का प्रयास करेगा।
539,THREEPIO,The tractor beam is coupled to the main reactor in seven locations.  A power loss at one of the terminals will allow the ship to leave.,Луч трактора связан с основным реактором в семи местах.Потеря мощности на одном из терминалов позволит кораблю уйти.,ट्रैक्टर बीम को सात स्थानों में मुख्य रिएक्टर के लिए युग्मित किया जाता है।टर्मिनलों में से एक पर एक बिजली की हानि जहाज को छोड़ने की अनुमति देगा।
540,BEN,I don't think you boys can help.  I must go alone.,"Я не думаю, что вы, мальчики, можете помочь.Я должен пойти один.",मुझे नहीं लगता कि आप लड़के मदद कर सकते हैं।मुझे अकेले जाना चाहिए।
541,HAN,Whatever you say.  I've done more than I bargained for on this trip already.,"Что бы вы ни говорили.Я уже сделал больше, чем в этой поездке уже.",आप जो भी कहते हैं।मैंने इस यात्रा पर पहले से ही मोलभाव करने से अधिक किया है।
542,LUKE,I want to go with you.,Я хочу пойти с тобой.,मैं तुम्हारे साथ जाना चाहता हुँ।
543,BEN,"Be patient, Luke.  Stay and watch over the droids.","Будьте терпеливы, Люк.Оставайтесь и следите за дроидами.","धैर्य रखें, ल्यूक।रहो और droids पर देखो।"
544,LUKE,But he can...,Но он может ...,लेकिन वह कर सकता है ...
545,BEN,They must be delivered safely or other star systems will suffer the same fate as Alderaan.  Your destiny lies along a different path from mine.  The Force will be with you... always!,"Они должны быть доставлены безопасно, или другие звездные системы будут постигнуть ту же участь, что и Alderaan.Ваша судьба лежит по другим пути от моей.Сила будет с вами ... всегда!",उन्हें सुरक्षित रूप से वितरित किया जाना चाहिए या अन्य स्टार सिस्टम को एल्डेरन के समान भाग्य का सामना करना पड़ेगा।आपका भाग्य खदान से एक अलग रास्ते के साथ है।बल आपके साथ होगा ... हमेशा!
546,HAN,"Boy you said it, Chewie.","Мальчик, ты сказал это, Чуи.","लड़का तुमने कहा, चेवी।"
547,HAN,Where did you dig up that old fossil?,Где вы выкопали это старое окаменелость?,आपने उस पुराने जीवाश्म को कहां खोद लिया?
548,LUKE,Ben is a great man.,Бен великий человек.,बेन एक महान व्यक्ति है।
549,HAN,"Yeah, great at getting us into trouble.","Да, отлично доставят нас к неприятностям.","हाँ, हमें मुसीबत में डालने में बहुत अच्छा है।"
550,LUKE,I didn't hear you give any ideas...,"Я не слышал, чтобы ты давал какие -либо идеи ...",मैंने नहीं सुना कि आप कोई विचार देते हैं ...
551,HAN,"Well, anything would be better than just hanging around waiting for them to pick us up...","Ну, все будет лучше, чем просто ходить вокруг, ожидая, когда они заберут нас ...","खैर, कुछ भी बेहतर होगा कि हम हमें लेने के लिए इंतजार कर रहे हैं ..."
552,LUKE,Who do you think...,Как вы думаете ...,तुम्हें कौन लगता है...
553,LUKE,What is it?,Что это такое?,यह क्या है?
554,THREEPIO,"I'm afraid I'm not quite sure, sir. He says \I","Боюсь, я не совсем уверен, сэр.Он говорит \ я","मुझे डर है कि मुझे यकीन नहीं है, सर।वह कहता है \ i"
555,LUKE,"Well, who... who has he found?","Ну, кого ... кого он нашел?","अच्छा, कौन ... उसे कौन मिला है?"
556,THREEPIO,Princess Leia.,Принцесса Лея.,राजकुमारी लीया।
557,LUKE,The princess?  She's here?,Принцесса? Она здесь?,राजकुमारी?वह यहाँ है?
558,HAN,Princess?,Принцесса?,राजकुमारी?
559,LUKE,Where... where is she?,Где ... где она?,वह कहाँ है ... वह कहाँ है?
560,HAN,Princess?  What's going on?,Принцесса?Что происходит?,राजकुमारी?क्या चल रहा है?
561,THREEPIO,Level five. Detention block AA-twenty-three.  I'm afraid she's scheduled to be terminated.,"Пятый уровень.Задержание блокируется AA-двадцать три.Боюсь, она должна быть прекращена.",स्तर पांच।निरोध ब्लॉक एए-बीस-तीन।मुझे डर है कि वह समाप्त होने वाली है।
562,LUKE,"Oh, no!  We've got to do something.","О, нет!Мы должны что -то сделать.",अरे नहीं!हमें कुछ करना है।
563,HAN,What are you talking about?,О чем ты говоришь?,तुम किस बारे में बात कर रहे हो?
564,LUKE,The droid belongs to her.  She's the one in the message.  We've got to help her.,Дроид принадлежит ей.Она одна в сообщении.Мы должны помочь ей.,Droid उसके अंतर्गत आता है।वह संदेश में एक है।हमें उसकी मदद करने के लिए मिला है।
565,HAN,"Now, look, don't get any funny ideas.  The old man wants us to wait right here.","Теперь, посмотрите, не получайте смешных идей.Старик хочет, чтобы мы подождали прямо здесь.","अब, देखो, कोई मजेदार विचार मत करो।बूढ़ा चाहता है कि हम यहीं इंतजार करें।"
566,LUKE,"But he didn't know she was here.  Look, will you just find a way back into the detention block?","Но он не знал, что она здесь.Послушайте, вы просто найдете путь обратно в блок содержания под стражей?","लेकिन वह नहीं जानता था कि वह यहाँ थी।देखिए, क्या आप बस डिटेंशन ब्लॉक में वापस जाने का रास्ता पाएंगे?"
567,HAN,I'm not going anywhere.,Я никуда не поеду.,मैं कहीं नहीं जा रहा।
568,LUKE,"They're going to execute her.  Look, a few minutes ago you said you didn't want to just wait here to be captured.  Now all you want to do is stay. ","Они собираются выполнить ее.Послушайте, несколько минут назад вы сказали, что не хотите просто ждать здесь, чтобы быть захваченным.Теперь все, что вы хотите сделать, это остаться.","वे उसे निष्पादित करने जा रहे हैं।देखिए, कुछ मिनट पहले आपने कहा था कि आप बस यहां इंतजार नहीं करना चाहते थे।अब आप बस इतना ही रहना चाहते हैं।"
569,HAN,Marching into the detention area is not what I had in mind.,"Прохождение в зону содержания под стражей - это не то, что я имел в виду.",हिरासत क्षेत्र में मार्च करना मेरे मन में नहीं था।
570,LUKE,But they're going to kill her!,Но они собираются убить ее!,लेकिन वे उसे मारने जा रहे हैं!
571,HAN,Better her than me...,"Лучше ее, чем я ...",उससे बेहतर है कि वह मुझसे ...
572,LUKE,She's rich.,Она богата.,वह अमीर है।
573,HAN,Rich?,Богатый?,अमीर?
574,LUKE,"Yes.  Rich, powerful!  Listen, if you were to rescue her, the reward would be...","Да.Богатый, мощный!Послушайте, если бы вы спасли ее, награда была бы ...","हाँ।अमीर, शक्तिशाली!सुनो, यदि आप उसे बचाने के लिए थे, तो इनाम होगा ..."
575,HAN,What?,Что?,क्या?
576,LUKE,Well more wealth that you can imagine.,"Ну, больше богатства, которое вы можете себе представить.",अच्छी तरह से अधिक धन जो आप कल्पना कर सकते हैं।
577,HAN,"I don't know, I can imagine quite a bit!","Я не знаю, я могу представить себе немного!","मुझे नहीं पता, मैं काफी कल्पना कर सकता हूं!"
578,LUKE,You'll get it!,Вы получите это!,आप इसे प्राप्त करेंगे!
579,HAN,I better!,Я лучше!,मैं बेहतर!
580,LUKE,You will...,Вы будете...,आप करेंगे...
581,HAN,"All right, kid.  But you'd better be right about this!","Хорошо, малыш.Но тебе лучше быть прав в этом!","सब ठीक है, बच्चा।लेकिन आप इस बारे में बेहतर होंगे!"
582,LUKE,All right.,Все в порядке.,ठीक है।
583,HAN,What's your plan?,Какой у тебя план?,आपकी क्या योजना है?
584,LUKE,"Uh... Threepio, hand me those binders there will you?","Э -э ... Трипио, передай мне эти связующие, ты будешь?","उह ... थ्रीपियो, मुझे उन बाइंडरों को सौंपें जो आप करेंगे?"
585,LUKE,"Okay.  Now, I'm going to put these on you.",Хорошо.Теперь я собираюсь надеть их на вас.,"ठीक है।अब, मैं इन पर इन पर डालने जा रहा हूं।"
586,LUKE,"Okay.  Han, you put these on.","Хорошо.Хан, ты надевал это.","ठीक है।हान, आप इन पर डाल दिया।"
587,HAN,"Don't worry, Chewie.  I think I know what he has in mind.","Не волнуйся, Чуи.Я думаю, что знаю, что он имеет в виду.","चिंता मत करो, चेवी।मुझे लगता है कि मुझे पता है कि उसके मन में क्या है।"
588,THREEPIO,"Master Luke, sir!  Pardon me for asking... but, ah... what should Artoo and I do if we're discovered here?","Мастер Люк, сэр!Простите меня за то, что я спросил ... но, ах ... что мы с Артоо, если мы обнаружим здесь?","मास्टर ल्यूक, सर!मुझे पूछने के लिए क्षमा करें ... लेकिन, आह ... अगर हम यहां खोजे तो आर्टू और मुझे क्या करना चाहिए?"
589,LUKE,Lock the door!,Закрыть дверь!,दरवाजा लॉक करें!
590,HAN,And hope they don't have blasters.,"И надеюсь, что у них нет бластеров.",और आशा है कि उनके पास ब्लास्टर्स नहीं हैं।
591,THREEPIO,That isn't very reassuring.,Это не очень обнадеживает.,यह बहुत आश्वस्त नहीं है।
592,LUKE,I can't see a thing in this helmet.,Я ничего не вижу в этом шлеме.,मैं इस हेलमेट में एक चीज नहीं देख सकता।
593,HAN,This is not going to work.,Это не сработает.,यह काम करने वाला नहीं है।
594,LUKE,Why didn't you say so before?,Почему ты так не сказал?,आपने पहले ऐसा क्यों नहीं कहा?
595,HAN,I did say so before!,Я так говорил раньше!,मैंने पहले ऐसा कहा था!
596,OFFICER,Where are you taking this... thing?,Куда ты это принимаешь ... вещь?,आप इसे कहाँ ले जा रहे हैं ... बात?
597,LUKE,Prisoner transfer from Block one-one-three-eight.,Перевод в заключенном из блока один один-три восемь.,ब्लॉक एक-तीन-आठ से कैदी हस्तांतरण।
598,OFFICER,I wasn't notified.  I'll have to clear it.,Я не был уведомлен.Я должен это очистить.,मुझे सूचित नहीं किया गया था।मुझे इसे साफ करना होगा।
599,HAN,Look out!  He's loose!,Высматривать!Он свободно!,बाहर देखो!वह ढीला है!
600,LUKE,He's going to pull us all apart.,Он собирается вытащить нас всех.,वह हम सभी को अलग करने जा रहा है।
601,HAN,Go get him!,"Иди, возьми его!",उसे ढूंढो!
602,HAN,We've got to find out which cell this princess of yours is in.  Here it is... cell twenty-one-eight-seven.  You go get her.  I'll hold them here.,"Мы должны выяснить, в какой клетке находится ваша принцесса. Вот ... камера двадцать один-восемь семь.Вы идете ее.Я буду держать их здесь.",हमें पता चला है कि आपकी यह राजकुमारी किस सेल में है। यहाँ यह है ... सेल इक्कीस-आठ-सात।तुम उसे जाओ।मैं उन्हें यहाँ पकड़ लूंगा।
603,HAN,Everything is under control.  Situation normal.,Все под контролем.Ситуация нормальная.,सब कुछ नियंत्रण में है।स्थिति सामान्य।
604,INTERCOM VOICE,What happened?,Что случилось?,क्या हुआ?
605,HAN,"Uh... had a slight weapons malfunction.  But, uh, everything's perfectly all right now.  We're fine.  We're all fine here, now, thank you.  How are you?","Э -э ... имел небольшую неисправность оружия.Но сейчас все сейчас.У нас все в порядке.У нас все в порядке, теперь, спасибо.Как вы?","उह ... एक मामूली हथियार खराबी थी।लेकिन, उह, सब कुछ पूरी तरह से अभी है।हम ठीक हैं।हम सब यहाँ ठीक हैं, अब, धन्यवाद।आप कैसे हैं?"
606,INTERCOM VOICE,We're sending a squad up.,Мы отправляем команду.,हम एक दस्ते को भेज रहे हैं।
